id,title,abstract,year,field,author,inCitation,outCitation,journalName,journalVolume,journalPages
a4bd7b939261f3f4ec443bd37d914eaf4e6718c3,"The role of self-efficacy factors, individual characteristics and WIL participation on accounting near-graduate studentsâ€™ employment outcomes","The issue of graduate employment has long been a focus in research, particularly in accounting education. Increasingly, higher education institutions promote this aspect to help them attract and retain high-quality students and maintain their competitive advantage in the market place. Given its importance, the present research analyses the association between the three self-efficacy factors of the general self-efficacy scale (GSES): initiative, effort and persistence on accounting near-graduate employment outcomes. Currently, no studies in accounting education have analysed this association in this context, so this research constitutes a contribution to the literature. Furthermore, there is limited research on the association of overall general self-efficacy (GSE) with accounting student employment outcomes. 
In addition to the three-factor GSES structure, the present study also includes studentsâ€™ individual characteristics (i.e., gender, age, residency, study mode and language), and WIL participation as potential factors impacting near-graduate accounting studentsâ€™ employment outcomes. Furthermore, the study also examines the potential association between the three factors of the GSES with studentsâ€™ participation in WIL programs during their degree course. 
The three-factor self-efficacy construct, based on a trait-like method, was adopted instead of the overall GSES structure, as the former approach enables a deeper analysis of the GSE concept via the employment of separate independent variables. Consequently, the importance of the individual factors and their impact on employment and WIL participation is clearly and distinctively revealed. 
The study sample consisted of 337 near-graduate accounting students from Victoria University and Swinburne University of Technology, both based in Melbourne, Australia. The research employed logistic regression, as well as Lasso and R-glmulti statistical techniques, to examine the main research questions. In addition, Mann-Whitney U tests and Pearson chi-square tests were conducted to examine the association between accounting studentsâ€™ individual characteristics (gender, age, residency, study mode and language) and the three factors of GSES (initiative, effort and persistence). 
The study results indicate that two out of the three GSES factors (specifically, initiative and persistence) showed a significant relationship with the employment outcomes of near-graduate accounting students. The study results also confirmed prior research findings, which found that individual characteristics (i.e., language, study mode, residency and age) were significantly associated with employment outcomes. Furthermore, the results showed no significant association between the three self-efficacy factors and studentsâ€™ WIL participation. 
The results of this study provide some important implications for accounting higher education with regard to improving the employment outcomes of accounting near-graduates. These include: (i) developing closer links with industry to improve student familiarity with workplace requirements; (ii) incorporating WIL programs into the accounting curriculum, such as in a professional degree program; (iii) tailoring parts of the curriculum, where possible, in order to improve student self-efficacy; (iv) promoting WIL and providingwider opportunities to access the program; and (v) examining the need for higher education reform to improve international student access to WIL participation during degree courses.",2018,Psychology,"list(name = ""Lioubov Satchakova"", ids = ""119092908"")",,a817520ff636279076e2f81934921a5a47813bad; 8b1a6a4fde431c561236402ab4788409a7fabe9d; a97a19ee8eb086df03961634cca804b551cd4a4c; 65cab7e01e2ac05fe35c73e5a127c2f329cfa301; 57ca8567e0260aabe547ffe01f06d6f1f466f318; 830553e1c00b4140f355542ff88640636aa3c9da; 0af5fcc53da2e90f93ec915780a61fea908d9a47; 66d98476c6dfb77bc5ccadeb0248486ecc9a8668; a2c6dd4c49e30550d5d95dcaab629658600d85e7; ec27d15bcaa224d869688d846d9884490f358a37; 4b2f4cc1245821af69c5fa5752bd362ecdf996ec; b8743f4f47cde2a35129f1edda26d737828a7022; 58a410d5932e2f295ae728488233c57625b97f40; b77990a63dc9e2ebc1ab4aa8fbb37a7f2330a341; 3f999397b60f454a95215ebfe5a61a70da9e3b74; 560c5fa7b3d5daebcb07237b6fc0ee0a2d9aa43f; 56d5ede0abeda976dec04ca9ba7167abcce76d92; d9832eb7ebf9ba233ee10ca4ab853adf518edf78; 10051f6c484e44b7e5e3e21485bd14414d1dae81; f95a6cedc3cb3db2f8e26bf61aa42c175a009937; 00b4da57c062349807d32efebf626a49d9945536; 9747755cfc8b3c32932d95f0923be91100a4013d; 9af8dac0a7849ad29df3f0d1f16b735fff9b8d56; 1943bd013b6375ab2b4b00062b91bdcfec64fcd5; f154f7bb47699dc0f7ab4a514fbe778b9e42c2f6; d9bac454db5a06745ad68fc117e530ae24109004; c2a2290c43d8b3fe8941ff42fb66754160dbde60; 2fcf90089d9f95025e8953812a43f0db2de3af7c; f397d3277c842bbec98dd9dec6fba2cfa4ef0a57; 2dacc80eebb723c10cd0dd3dbca3b7bb6d26a8aa; 729caa15a342544d26c68dab6aa09a21d8c6c583; d666465aff478ffcdc90b7f32e45fc3f0c6e7a81; a9ec67504bdef64aaa8629ce590ce01971611dd2; 1f6bdc549bc103a59a9413d4138c38e1cd2d1a23; 953070a862df2824b46e7b1057e97badfb31b8c2; 5b50a8bc9540c05333ad5e439d113a5607951a54; f259850b8747d3610aad0c565835017929b55a41; 3998817dcce54697eedf5effdd54054626cfb1c6; 1aa79cd167a6136e8ea9027a603b5ee1c64b461f; 8f7c6141caa6e8b4ca80f7c83497c5bf67b88dad; 7ffa87478b84c82eefbe88d085a84fadf4a80f51; faad9df345f43ef924c0f9544599ee82fd7b568b; 1deb1e1ac198bc0d05a506af559d7834745a52df; e4fec57300d4033aa9372501a8b3a72c15a4384e; 897cd85de540bf79afa9fbe01d790c8b97a2c011; e183a63e6e7bebee6de5a0f7b322fe061121a33e; 5e8586bdd5449abb95176e51ba8d62e614b43e4a; ebf861f12e7b59b450748171236ff8354b6314e8; 7476b6b9a50749810e40e5b5175c15d2be469474; 5a5d2e25912f983fdb454a3e1ff9d0978d2cbae0; f47281bb57dc80475508e395c131aaae279592de; d3ad5dd96415ac80033e992e57d8243bf010a68d; 1e052f99e269a1057979a69242ad983f89cdad94; adc62a12dae31230bac4efcd2f99c78e2cd3f536; e16ccb98562777c28d9a81f3e8bbd7a79d7658ab; 9b2ed1b7572ece51b1cb1c6c221fcb2fd3896398; ae78111cb7bcdf1b1134477a4d7561944a910c4a; 49a55372aab6379c7cd12b2c59ecc3d9fc02af60; 88395c8b61c63cec2f986a8d5afc12ebf1945a71; 151d012c72dd92a8c0cf0aec0478b508197d52b4; 241ec556defe4253fea65f099f1c033074a43bfb; 262c7517026f78748b2b4ff973af0623985a6976; e7be3aabfe764f4e772cf852cfd0ba9fb9584ef0; 30e6398629d1d9a9144e6ea0c4c6eeaf2604dca3; 736706e1cea9f05f63188f21a7ef94014616da59; 85ba5898f4bb056947523044fb572738f81ba3b3; e2fac0f6047c02f30eca7e11abe3c149fa39fc89; e5708f44aeb3840ab833dbc5ec1ca94e193ff119; 067c584bfee901749be117d162434986e2623584; 7100490ce710233d3427465d2c951e8666c8988c; ba8496b80d8cd210e3bd5a3d60d618b8a0403e36; b716e995860cff38091f0a972165002fe473b3a4; cb56ec728c48bf2d213e6c1748997e2d10be8de8; 948f74bbe625f25dfce32612b98052da45b160fc; 7d57e29954dea9fdb92520ad69dff4761927622c; de549a8c02561fd8bac99fb06a84f797f7227992; 13f0d9df1e1833df180391fbfea4bb4c44e0e65d; f51b4a0a3d376c78862a0b3e0717f3b21202577b; d8a8f2ea753c22e4206f21cf87456303edd9516a; 479e05b412e3edef065e4b2ef3b83fae23223749; ef112f44d9a9397740f8f5a0cdfe142a903efa4f; 889525929f5799c13a3d8d73c765a392b8d99863; dd616359fbdeaa334cebfd86f5f13166e32d55fc; 6dee211c8b2ed534d6b8bab255cc74d0fee28e78; 59cad80f483b714c72e3e48827e42975f64d4f31; 48c90d00bbcf5952b45d49abfbcc71a3b3dbe797; e3a8b43ae7f8600b0b9f5641730e28b69e94e971; 7f2d065910612e9cee77de60a3c9beef97427f8b; 89b68138a9f99ce8ad92e60a9272318f7355cf34; fee8e02699034b1d3f6a121cb2d7a1df2bd7ad05; 03a19c518c9347b0dc24dce385bb24de42be73fe; d331c49c0d1a084255fab88ad495ccb7cf49857d; ac5e724f4223720c1b4f5bcc4c7b8c11ccea83c1; 3909e2604383823f97adaa9dece750c63c4fe7f3; 230e458b34cdcb463cfe4caa954253bd73456e2e; b6d35f22b0e3302419212fcdc2c872b156b94fce; 02d9cb2b892636dd8dbf5ecfd07e9c0189f1c371; 2a780dea5030cbf69fb869195a82b2ee68821c9f; 06fce7da7606ef1fa02b69ec5e9ebcc3ad2a0954; de53cc0c3175641d3da9887b681ccefdb455b119; 07ae80072f956407954a89d5de5bd9845d483bd5; f4ee6f7b09f4b1c9943cc36a8aa5a6391e1a92cf; 76c7c2690b89051b23edf91886311b37505352a2; 35f50410d121bab487a4e7360dbb794e2109c535; 635a2589f68590dd67168a39161b46a99376b2cd; 3d8f8f0a403d3c42738878c3e297fe3e278ed853; 3ccff7c32fef0b10e2c3bc42a060d30ec0411364; 036d49e6886ced4ede383c5a9bb9e75c892520b6; 456eda93c4ea28a394e9a585cb657cb9c3e328bb; 25d5c472e0d4583aae3672566f765a0842abc036; 463dc5de03c98e360b97d01dcac7a71a9a439dcc; fc26c57ea6e5104f0e1c1755ddeb7006b7101f6c; 912523f8ab4159e147e8a34ddafeb822d145e977; 035b0a6603c2232d961658dc39cd26b2113abf76; 79f01654a8ef941ddd55e59d4cc9eb4f153318c5; 8d049d497030a2d4107b99a24445eb7dbff51add; 04ffee95a0e7e4c64bd3a754c93c0edea59cc360; bff190fa90df41087d3081307294e7a224e60066; ed66ea66fadf9bec1cb5a720bfb349cbbf3d7f7d; 850eb9765dc6d01a1b2ddc2604111ce44020ad3c; 7bdb66f1cdd003ff76ca3627283ac931e6b4aeb9; b100fcf9729ec4596851bca314dbd4a5658fdd8e; e09149ef51c19ac4d92fae073bb954e834b0bb7d; 4a6398eee0a5044c6c07763811ffa08b4c1ab0ea; 24f6a684dd840e95df2875c23a8ca786dbfccae0; c58060eda27cc9d8640f7b37f70d78e8f858b7b1; 21f2aeb5e5d6c47a8e3dd05b3d7be4c15d73c886; 2f22defd882f9241052d5a2ae410347f480a6c48; 6ae535f79d3db3084cf9137566a31af1b3567eef; 3bd9618e64809561b57f202310c1b0781a79bd9e; dac346198dc17a646655a5460bd2412af236b9ef; 54c53ecb6bcda0c85cbaa55e815f642e269dde33; 1f205b0b4eadfedb8da35f20196b0002513f6833; a7f44f42da2511e57081881049cfa375da43e08f; 0d5d4f838244fbcdbb2ce88ae6a02c5377136533; de1c021054bb30f19738e3a70f6d6d8144b6da06; 4fed212bd0ff6c9e0884d00eb81cabe30d104fa1; 7f58b7bc5b4433bd509881ec88337c3b2469f576; 3586a0133bcb9b0378ce5303f91b6add0dc1cb8e; c7b24623353d068b425e135bb45a99d8139d5829; 135286589415dd3935d79aa331c781b34ea9db39; 214608a979a5168ffefca87f8b788f15a7c378b5; 6a14119f2a915c219d9a95cb7e3a007023e062ef; 9e60d826da68e4bfff4dba2845a59ff78f044316; 555e57274116fbb1902595d7525611e78a462cb8; 5aad2cf82e1717ab101786f14571bb318399da64; 2608555dd2dfd95bf93ff27395392a76a3a40205; b365b8e45b7d81f081de44ac8f9eadf9144f3ca5; 8b4300f253644d49c778c037ee614b9cf42a908c; d886f0fc29742142d3ca9711d30458ab64b81674; ab6528865b09b336dc48f91d7845243ba6c99463; a7293d992d7bb0e31385fc7d9dd38e3becaa54a9; b1fc12eb646f9a4652c3ac990cbfdca31e247187; ba4bfe207e4ea1713da5bed3ae94d60067d38226; 3791f204d20a1e0919bbf87843bf7455f979f30a; 4e952932472efeaf10479ef76d394ed85e520ffe; 08f539950e82c6a304275056da1e99f6f958ef3d; 6a55d2d2643411751b1aa5c848654324c4e4454d; ca72f9f4e6a72abbc73ff5deaf327a706e8f494d; cbc32fa998db9840df7cd0294874ae168ecd0647; 8beec556fe7a650120544a99e9e063eb8fcd987b; 549c188319903b825ba415466c0bb7b76833826d; 9eb559e48a3878353f3b0023b0409cc123a528f1; 1fdb97b9fdbba861f316689a258c6286796684f3; 360d9ad2044251aca1195437d96c578e3c8d8a2d; 1b3d1056b2e42721833eb1d6678c29a8665369c7; 81dc1309c29342e113989d098e1c4dfed4324d17; bd2a6d7c989ea171afbf44bb3659e99d22c19238; 48de81ba8c13a3c01b44e4018c12843fa69ae213; 478794b6a39bff5c21dc42c4b09bd88e3678a140,,,
39a986b1b4283cff08ebd425ca87c76040affec2,Stochastic Restricted LASSO-Type Estimator in the Linear Regression Model,"Among several variable selection methods, LASSO is the most desirable estimation procedure for handling regularization and variable selection simultaneously in the high-dimensional linear regression models when multicollinearity exists among the predictor variables. Since LASSO is unstable under high multicollinearity, the elastic-net (Enet) estimator has been used to overcome this issue. According to the literature, the estimation of regression parameters can be improved by adding prior information about regression coefficients to the model, which is available in the form of exact or stochastic linear restrictions. In this article, we proposed a stochastic restricted LASSO-type estimator (SRLASSO) by incorporating stochastic linear restrictions. Furthermore, we compared the performance of SRLASSO with LASSO and Enet in root mean square error (RMSE) criterion and mean absolute prediction error (MAPE) criterion based on a Monte Carlo simulation study. Finally, a real-world example was used to demonstrate the performance of SRLASSO.",2020,Mathematics,"list(name = ""Manickavasagar Kayanan"", ids = ""89990285""); list(name = ""Pushpakanthie Wijekoon"", ids = ""6392109"")",,,Journal of Probability and Statistics,2020,1-7
f91d4996ce70d750574da3b5ae76cac97489c6d3,Adaptive Lasso for Poisson log-linear regression model,"Aim To study adaptive Lasso for Poisson log-linear regrersion model.Methods The methods of mathematical analysis and probability theory are used.Results Under some conditions,the adaptive Lasso estimator for Poisson log-linear regression has the oracle properties which are sparsity and asymptotic normality.Conclusion Adaptive Lasso can effectively choose variables for Poisson log-linar regression model and estimate the variable coefficient.",2011,Mathematics,"list(name = ""Xia Zhi-ming"", ids = ""14288385"")",,,Journal of Northwest University,,
73eba008f5d4158b5275a74840454dae0d9da1bd,Paleozoicâ€”mesozoic deposits of the PiauÃ­â€”MaranhÃ£o syneclise (Brazil): geological history of a sedimentary basin,"Abstract During Middle and Late Paleozoic and Early Mesozoic times the Piauiâ€”Maranhao syneclise was an area of continuous sedimentation. Between the Late Silurian and Early Carboniferous the basin passed through a thalassocratic phase, turning geocratic between the Late Carboniferous and Middle Triassic. Based upon sedimentary properties and fossil content, many sedimentary environments could be distinguished. During the thalassocratic phase, nearshore, submarine-fan, deltaic, tidal, coastal and alluvial-plain realms existed. During the geocratic phase the recognized realms are fluvial, lacustrine and semiarid to desertic, as well as offshore to nearshore due to a short marine invasion. The sedimentary history of the Piauiâ€”Maranhao syneclise showed itself to be rather simple, with a limited number of interacting environments. The marine phase started with a slow transgression, followed by a period of fluctuating sea level and finished with a fairly rapid regression. The sedimentary response was an alternation of clastic sediments of various grain sizes. During the geocratic phase the continental environments are chiefly differentiated by variations in climate, resulting in a sedimentary sequence which presents besides variously sized clastics, also limestones and evaporites. These ancient environments have been compared with recent ones, leading to the conclusion that the climatic evolution was very important. The climate during the period of deposition changed slowly from boreal through temperate and desertic, to almost tropical, confirmed by the character of the sediments and the biota assemblage.",1977,Geology,"list(name = ""Jannes Markus Mabesoone"", ids = ""103938417"")",5c1b6d0c9b42f4b317daf4502b554cc0f6b5cfec,,Sedimentary Geology,19,7-38
